"p.scale","p.theta","kappa","scale","r.scale","sd.scale","shape","r.shape","sd.shape","Mean.bias","Rate","m.rate","true.rate","CP","Scenario"
0.5,1,1.01,0.416489396336204,0.0136252874988397,0.0142526383804571,1,0,0,-0.0835106036637964,0.0906726869448755,0.145764,0.135335283236613,0,"censored"
0.5,1,1.30302375195705,0.427929697087972,0.014100533591187,0.0146174224212849,1,0,0,-0.0720703029120284,0.096674328562682,0.142632,0.135335283236613,0.004,"censored"
0.5,1,1.68106029521211,0.430526416429899,0.0130220982700245,0.0146675212057471,1,0,0,-0.0694735835701014,0.0980387818416439,0.138158,0.135335283236613,0,"censored"
0.5,1,2.16877375557753,0.438759033008752,0.0143994024517731,0.0149212301394318,1,0,0,-0.0612409669912481,0.102405512164362,0.134994,0.135335283236613,0.028,"censored"
0.5,1,2.79798387736497,0.460334808749342,0.0153674768690415,0.0156876858973219,1,0,0,-0.0396651912506583,0.113935005703722,0.138616,0.135335283236613,0.278,"censored"
0.5,1,3.60974202950439,0.474579159192816,0.0155659755680795,0.0162243302871838,1,0,0,-0.0254208408071845,0.121601069946045,0.144014,0.135335283236613,0.642,"censored"
0.5,1,4.65700950780384,0.482595734688616,0.0152876251868151,0.0164839971726062,1,0,0,-0.0174042653113839,0.125926587388631,0.142536,0.135335283236613,0.808,"censored"
0.5,1,6.00811287302793,0.477343520053191,0.0149276629396334,0.016257547834143,1,0,0,-0.0226564799468085,0.123090931184847,0.137602,0.135335283236613,0.714,"censored"
0.5,1,7.7512017603904,0.487843655187237,0.0152532021734248,0.0166238902693329,1,0,0,-0.0121563448127631,0.12876245715172,0.138478,0.135335283236613,0.902,"censored"
0.5,1,10,0.491443648435451,0.0162909829831607,0.0167509405076476,1,0,0,-0.00855635156454887,0.130709148333136,0.138898,0.135335283236613,0.904,"censored"
0.5,1,10.1,0.489561574514699,0.0165580107741406,0.0166804368851765,1,0,0,-0.0104384254853008,0.129692292585025,0.13824,0.135335283236613,0.898,"censored"
0.5,1,11.3952934094239,0.486854821971023,0.0168743458453232,0.0165639793019949,1,0,0,-0.0131451780289772,0.128229993827562,0.135704,0.135335283236613,0.86,"censored"
0.5,1,12.8567041472137,0.48698919370893,0.0165549667964375,0.0165595002411266,1,0,0,-0.0130108062910703,0.128302082536063,0.134762,0.135335283236613,0.882,"censored"
0.5,1,14.5055362411542,0.494974206493895,0.0167128507156665,0.0168689765644693,1,0,0,-0.00502579350610538,0.132618068759267,0.13863,0.135335283236613,0.934,"censored"
0.5,1,16.3658258939587,0.495192343970565,0.0165063035242314,0.0168730860905856,1,0,0,-0.00480765602943539,0.132735791891738,0.138332,0.135335283236613,0.954,"censored"
0.5,1,18.464691876159,0.486116236382992,0.0161893921767055,0.0165082726813542,1,0,0,-0.0138837636170076,0.127830200191174,0.132524,0.135335283236613,0.862,"censored"
0.5,1,20.8327308557858,0.496576342075812,0.0171297676866237,0.0169077490000014,1,0,0,-0.00342365792418786,0.133484050285075,0.137004,0.135335283236613,0.942,"censored"
0.5,1,23.5044634278453,0.495163748881993,0.0168139202868701,0.0168525326026668,1,0,0,-0.00483625111800728,0.132720378926171,0.136306,0.135335283236613,0.934,"censored"
0.5,1,26.5188373456802,0.498544533530254,0.0173046017475817,0.0169806094358451,1,0,0,-0.00145546646974587,0.134548616358317,0.137622,0.135335283236613,0.94,"censored"
0.5,1,29.9197952901794,0.498885092334218,0.0163556084178755,0.0169912632372218,1,0,0,-0.00111490766578243,0.134733014545395,0.137554,0.135335283236613,0.948,"censored"
0.5,1,33.7569154536131,0.498195702775205,0.0161373120862791,0.0169589338943283,1,0,0,-0.00180429722479453,0.134359477972061,0.136652,0.135335283236613,0.966,"censored"
0.5,1,38.0861342763402,0.494892247000234,0.0172201699211938,0.016828967767603,1,0,0,-0.00510775299976612,0.132572546943294,0.134826,0.135335283236613,0.934,"censored"
0.5,1,42.9705618722388,0.496558833711349,0.0178330186627326,0.0168937917899967,1,0,0,-0.0034411662886511,0.133475002808196,0.135616,0.135335283236613,0.932,"censored"
0.5,1,48.4814020298973,0.496896168840453,0.01620211793293,0.0169012340151143,1,0,0,-0.00310383115954738,0.133656336486926,0.13528,0.135335283236613,0.956,"censored"
0.5,1,54.6989902010809,0.500663342470167,0.017167785398607,0.0170469609920604,1,0,0,0.000663342470166639,0.135693791278471,0.137052,0.135335283236613,0.95,"censored"
0.5,1,61.713964607972,0.498896082634124,0.0166768054183766,0.0169736312062728,1,0,0,-0.00110391736587645,0.134738200334064,0.135704,0.135335283236613,0.948,"censored"
0.5,1,69.6285875412516,0.500797457673389,0.0171328037264596,0.0170439145191664,1,0,0,0.000797457673389235,0.135766914640153,0.13627,0.135335283236613,0.946,"censored"
0.5,1,78.5582361105263,0.497968679644467,0.0165779498354782,0.0169383448523638,1,0,0,-0.00203132035553294,0.134236628823888,0.135314,0.135335283236613,0.952,"censored"
0.5,1,88.633084178836,0.498701719639282,0.0174172295076417,0.016963662934486,1,0,0,-0.00129828036071844,0.134633148040384,0.135346,0.135335283236613,0.944,"censored"
0.5,1,100,0.499129401715507,0.0173345025093559,0.0169795971972296,1,0,0,-0.000870598284492985,0.134863826327681,0.135482,0.135335283236613,0.944,"censored"
0.5,1,1.01,0.272200993538785,0.0116868881302547,0.0116327028463176,1,0,0,-0.227799006461215,0.0253721120628625,0.145764,0.135335283236613,0,"truncated"
0.5,1,1.30302375195705,0.297179732432022,0.01329040897375,0.0133741422093191,1,0,0,-0.202820267567978,0.0348833903974172,0.142632,0.135335283236613,0,"truncated"
0.5,1,1.68106029521211,0.31186211306958,0.0143072451741363,0.0144629691736114,1,0,0,-0.18813788693042,0.0411463707961404,0.138158,0.135335283236613,0,"truncated"
0.5,1,2.16877375557753,0.336131408880202,0.0152642092480654,0.0162834928312938,1,0,0,-0.163868591119798,0.0515783203585816,0.134994,0.135335283236613,0,"truncated"
0.5,1,2.79798387736497,0.371990111545202,0.0202118395351653,0.0193952455256723,1,0,0,-0.128009888454798,0.0688184268657649,0.138616,0.135335283236613,0,"truncated"
0.5,1,3.60974202950439,0.387734738849064,0.0209251933488021,0.0209504384988299,1,0,0,-0.112265261150936,0.0770174235770048,0.144014,0.135335283236613,0.002,"truncated"
0.5,1,4.65700950780384,0.414284232668662,0.0237913965105164,0.0234325721803893,1,0,0,-0.0857157673313377,0.0903868541336126,0.142536,0.135335283236613,0.09,"truncated"
0.5,1,6.00811287302793,0.41726556851305,0.0235019400644916,0.023748523826026,1,0,0,-0.0827344314869503,0.0924084483122946,0.137602,0.135335283236613,0.114,"truncated"
0.5,1,7.7512017603904,0.445573672376438,0.0250201191084984,0.0265160846590033,1,0,0,-0.0544263276235618,0.106574566953495,0.138478,0.135335283236613,0.46,"truncated"
0.5,1,10,0.454188081836891,0.028120408749557,0.0275567623517011,1,0,0,-0.045811918163109,0.11166473551214,0.138898,0.135335283236613,0.592,"truncated"
0.5,1,10.1,0.450340767393437,0.0288192290994505,0.027226848164171,1,0,0,-0.0496592326065633,0.11005174429767,0.13824,0.135335283236613,0.542,"truncated"
0.5,1,11.3952934094239,0.452977086530701,0.0283847243175332,0.027413044104507,1,0,0,-0.0470229134692989,0.111191827033484,0.135704,0.135335283236613,0.572,"truncated"
0.5,1,12.8567041472137,0.457801120602167,0.0296605571314656,0.0278858790278042,1,0,0,-0.0421988793978332,0.113580714531609,0.134762,0.135335283236613,0.62,"truncated"
0.5,1,14.5055362411542,0.467046241295205,0.0289972321355981,0.0289103462963205,1,0,0,-0.0329537587047948,0.118293510067746,0.13863,0.135335283236613,0.752,"truncated"
0.5,1,16.3658258939587,0.468460491941802,0.0307938887099623,0.0291694048844172,1,0,0,-0.0315395080581978,0.119520225945035,0.138332,0.135335283236613,0.756,"truncated"
0.5,1,18.464691876159,0.464283941281384,0.0294567709348348,0.028581512593505,1,0,0,-0.0357160587186165,0.117179478855304,0.132524,0.135335283236613,0.748,"truncated"
0.5,1,20.8327308557858,0.481436715864252,0.0295111241338047,0.0303010171542621,1,0,0,-0.0185632841357481,0.125078755672447,0.137004,0.135335283236613,0.88,"truncated"
0.5,1,23.5044634278453,0.477437683354671,0.0309827856914642,0.0301356137925465,1,0,0,-0.0225623166453288,0.124304877637207,0.136306,0.135335283236613,0.856,"truncated"
0.5,1,26.5188373456802,0.482058284361163,0.032873965428286,0.0308167965945482,1,0,0,-0.0179417156388374,0.127348295955361,0.137622,0.135335283236613,0.868,"truncated"
0.5,1,29.9197952901794,0.48395432415074,0.0289610610203385,0.030919464812254,1,0,0,-0.0160456758492604,0.12796243890989,0.137554,0.135335283236613,0.922,"truncated"
0.5,1,33.7569154536131,0.485477741182573,0.0312715469239062,0.0311451066622467,1,0,0,-0.0145222588174266,0.129028451428439,0.136652,0.135335283236613,0.922,"truncated"
0.5,1,38.0861342763402,0.482516523101162,0.0318424717025234,0.0307865383323437,1,0,0,-0.0174834768988382,0.127472551719228,0.134826,0.135335283236613,0.89,"truncated"
0.5,1,42.9705618722388,0.484057600767706,0.0320766874327564,0.0310367789443585,1,0,0,-0.0159423992322945,0.128575596722883,0.135616,0.135335283236613,0.898,"truncated"
0.5,1,48.4814020298973,0.489234336800655,0.0331489048746969,0.0313739150904536,1,0,0,-0.0107656631993446,0.130144738902094,0.13528,0.135335283236613,0.892,"truncated"
0.5,1,54.6989902010809,0.493764655991846,0.0348734074773331,0.0320164938500838,1,0,0,-0.00623534400815395,0.132901764104916,0.137052,0.135335283236613,0.91,"truncated"
0.5,1,61.713964607972,0.494019184691993,0.0310336088282309,0.0319284414980584,1,0,0,-0.00598081530800687,0.132748485463567,0.135704,0.135335283236613,0.934,"truncated"
0.5,1,69.6285875412516,0.497987211882479,0.0342064038640633,0.0324811319859215,1,0,0,-0.00201278811752115,0.135127066727431,0.13627,0.135335283236613,0.942,"truncated"
0.5,1,78.5582361105263,0.493802250026485,0.0301626230457062,0.031736218977019,1,0,0,-0.00619774997351485,0.131927477637644,0.135314,0.135335283236613,0.948,"truncated"
0.5,1,88.633084178836,0.49641673541475,0.0324620530461281,0.0320702867431963,1,0,0,-0.0035832645852496,0.133378951343055,0.135346,0.135335283236613,0.924,"truncated"
0.5,1,100,0.495382340323315,0.0331744440583281,0.0321844041573273,1,0,0,-0.00461765967668459,0.133871585740825,0.135482,0.135335283236613,0.94,"truncated"
1,1,1.01,0.666813145065748,0.0205052629523149,0.0247142114696681,1,0,0,-0.333186854934252,0.223124587243364,0.271602,0.367879441171442,0,"censored"
1,1,1.30302375195705,0.730487449373347,0.0239371806511849,0.0274219602117539,1,0,0,-0.269512550626653,0.254256506003129,0.289866,0.367879441171442,0,"censored"
1,1,1.68106029521211,0.804423112294005,0.0279839877969888,0.030782673041872,1,0,0,-0.195576887705995,0.288316800068987,0.316508,0.367879441171442,0,"censored"
1,1,2.16877375557753,0.813001297973296,0.0280117396909806,0.0310299845182555,1,0,0,-0.186998702026704,0.29212547149574,0.31294,0.367879441171442,0,"censored"
1,1,2.79798387736497,0.860541281490193,0.0311025427117934,0.0332005445447676,1,0,0,-0.139458718509807,0.312642796367175,0.3275,0.367879441171442,0.014,"censored"
1,1,3.60974202950439,0.871166865211547,0.0324919086820605,0.0336450767697275,1,0,0,-0.128833134788453,0.317091470041735,0.328874,0.367879441171442,0.04,"censored"
1,1,4.65700950780384,0.893816175219042,0.0331848916007581,0.0346984853066918,1,0,0,-0.106183824780958,0.326450747931405,0.335748,0.367879441171442,0.152,"censored"
1,1,6.00811287302793,0.915228518410046,0.0333138387007261,0.0356891693260827,1,0,0,-0.0847714815899542,0.335115912351088,0.341682,0.367879441171442,0.33,"censored"
1,1,7.7512017603904,0.932598096893184,0.0344381765671657,0.0364965252636845,1,0,0,-0.0674019031068164,0.34199774388874,0.346314,0.367879441171442,0.534,"censored"
1,1,10,0.927651890305973,0.0360286867204677,0.036245638806412,1,0,0,-0.0723481096940268,0.340023700900841,0.344186,0.367879441171442,0.494,"censored"
1,1,10.1,0.964483686496881,0.0366057438528941,0.0380732505297377,1,0,0,-0.0355163135031188,0.35432471461231,0.357526,0.367879441171442,0.846,"censored"
1,1,11.3952934094239,0.954515997377574,0.0373933803148402,0.037560707829467,1,0,0,-0.0454840026224261,0.350492563580845,0.35338,0.367879441171442,0.76,"censored"
1,1,12.8567041472137,0.946555568036873,0.0389140921613095,0.0371547887279289,1,0,0,-0.0534444319631272,0.34739204543884,0.350074,0.367879441171442,0.682,"censored"
1,1,14.5055362411542,0.965810059520998,0.0368255001195182,0.0381182918014883,1,0,0,-0.0341899404790017,0.354826974409921,0.357246,0.367879441171442,0.824,"censored"
1,1,16.3658258939587,0.956560597733854,0.03810261951326,0.0376402722378356,1,0,0,-0.0434394022661458,0.351268948042856,0.353342,0.367879441171442,0.762,"censored"
1,1,18.464691876159,0.963959120943417,0.0365103850023083,0.0380027147155088,1,0,0,-0.0360408790565834,0.3541251895425,0.355826,0.367879441171442,0.8,"censored"
1,1,20.8327308557858,0.981613992229563,0.0385703294458246,0.0388865365004036,1,0,0,-0.0183860077704373,0.360775138813771,0.361962,0.367879441171442,0.91,"censored"
1,1,23.5044634278453,0.976807289760498,0.0384394433973451,0.0386479293844254,1,0,0,-0.023192710239502,0.358970379237915,0.360362,0.367879441171442,0.9,"censored"
1,1,26.5188373456802,0.98847701711964,0.0385589217160325,0.0392326065776901,1,0,0,-0.0115229828803597,0.363339527096453,0.364384,0.367879441171442,0.936,"censored"
1,1,29.9197952901794,0.982736925042271,0.0407160515999807,0.0389454780906939,1,0,0,-0.0172630749577293,0.361164065559918,0.362352,0.367879441171442,0.902,"censored"
1,1,33.7569154536131,0.987896652869955,0.040110235454972,0.0392017674589332,1,0,0,-0.0121033471300447,0.363100795149903,0.364062,0.367879441171442,0.922,"censored"
1,1,38.0861342763402,0.977624263077686,0.0376679977880188,0.0386780209964549,1,0,0,-0.0223757369223139,0.35928939364199,0.360344,0.367879441171442,0.9,"censored"
1,1,42.9705618722388,0.977326171295167,0.0372824547315391,0.0386492489362252,1,0,0,-0.0226738287048327,0.359181698365257,0.359782,0.367879441171442,0.88,"censored"
1,1,48.4814020298973,1.0010930752683,0.0402266345797266,0.0398591995867282,1,0,0,0.00109307526830027,0.36798463376535,0.368342,0.367879441171442,0.95,"censored"
1,1,54.6989902010809,0.989494147169287,0.0385278769763309,0.0392608614035978,1,0,0,-0.0105058528307135,0.363719152315454,0.364002,0.367879441171442,0.95,"censored"
1,1,61.713964607972,0.997914047104503,0.0407190308590928,0.039693217975414,1,0,0,-0.00208595289549729,0.366806129053976,0.367076,0.367879441171442,0.946,"censored"
1,1,69.6285875412516,0.999665707755614,0.0376536215403156,0.0397895183161371,1,0,0,-0.000334292244385859,0.36749583138162,0.368038,0.367879441171442,0.964,"censored"
1,1,78.5582361105263,0.994431038917495,0.0415783734715961,0.0395174083695982,1,0,0,-0.00556896108250526,0.365506966034313,0.365822,0.367879441171442,0.95,"censored"
